Fecha,Hora,caudal m3 puelo
26/02/2022,21:46,301.498
26/02/2022,22:46,306.906
26/02/2022,23:46,312.484
27/02/2022,00:46,315.358
27/02/2022,01:46,321.106
27/02/2022,02:46,332.602
27/02/2022,03:46,365.737
27/02/2022,04:46,381.632
27/02/2022,05:46,388.058
27/02/2022,06:46,384.845
27/02/2022,07:46,394.484
27/02/2022,08:46,411.059
27/02/2022,09:46,427.974
27/02/2022,10:46,438.292
27/02/2022,11:46,438.292
27/02/2022,12:46,445.396
27/02/2022,13:46,448.948
27/02/2022,14:46,452.500
27/02/2022,15:46,463.156
27/02/2022,16:46,466.708
27/02/2022,17:46,466.708
27/02/2022,18:46,473.981
27/02/2022,19:46,473.981
27/02/2022,20:46,473.981
27/02/2022,21:46,477.702
27/02/2022,22:46,473.981
27/02/2022,23:46,470.260
28/02/2022,00:46,466.708
28/02/2022,01:46,463.156
28/02/2022,02:46,459.604
28/02/2022,03:46,456.052
28/02/2022,04:46,452.500
28/02/2022,05:46,448.948
28/02/2022,06:46,445.396
28/02/2022,07:46,441.844
28/02/2022,08:46,441.844
28/02/2022,09:46,441.844
28/02/2022,10:46,438.292
28/02/2022,11:46,438.292
28/02/2022,12:46,438.292
28/02/2022,13:46,434.740
28/02/2022,14:46,434.740
28/02/2022,15:46,434.740
28/02/2022,16:46,431.357
28/02/2022,17:46,427.974
28/02/2022,18:46,421.208
28/02/2022,19:46,417.825
28/02/2022,20:46,417.825
28/02/2022,21:46,414.442
28/02/2022,22:46,407.676
28/02/2022,23:46,404.293
01/03/2022,00:46,400.910
01/03/2022,01:46,394.484
01/03/2022,02:46,394.484
01/03/2022,03:46,388.058
01/03/2022,04:46,381.632
01/03/2022,05:46,381.632
01/03/2022,06:46,378.419
01/03/2022,07:46,375.206
01/03/2022,08:46,375.206
01/03/2022,09:46,375.206
01/03/2022,10:46,368.780
01/03/2022,11:46,365.737
01/03/2022,12:46,368.780
01/03/2022,13:46,368.780
01/03/2022,14:46,371.993
01/03/2022,15:46,375.206
01/03/2022,16:46,375.206
01/03/2022,17:46,381.632
01/03/2022,18:46,388.058
01/03/2022,19:46,394.484
01/03/2022,20:46,400.910
01/03/2022,21:46,404.293
01/03/2022,22:46,404.293
01/03/2022,23:46,407.676
02/03/2022,00:46,411.059
02/03/2022,01:46,411.059
02/03/2022,02:46,411.059
02/03/2022,03:46,411.059
02/03/2022,04:46,411.059
02/03/2022,05:46,417.825
02/03/2022,06:46,414.442
02/03/2022,07:46,414.442
02/03/2022,08:46,417.825
02/03/2022,09:46,417.825
02/03/2022,10:46,414.442
02/03/2022,11:46,414.442
02/03/2022,12:46,411.059
02/03/2022,13:46,411.059
02/03/2022,14:46,404.293
02/03/2022,15:46,404.293
02/03/2022,16:46,404.293
02/03/2022,17:46,400.910
02/03/2022,18:46,397.697
02/03/2022,19:46,397.697
02/03/2022,20:46,394.484
02/03/2022,21:46,391.271
02/03/2022,22:46,391.271
02/03/2022,23:46,388.058
03/03/2022,00:46,388.058
03/03/2022,01:46,384.845
03/03/2022,02:46,384.845
03/03/2022,03:46,381.632
03/03/2022,04:46,378.419
03/03/2022,05:46,378.419
03/03/2022,06:46,378.419
03/03/2022,07:46,375.206
03/03/2022,08:46,371.993
03/03/2022,09:46,368.780
03/03/2022,10:46,365.737
03/03/2022,11:46,362.694
03/03/2022,12:46,362.694
03/03/2022,13:46,362.694
03/03/2022,14:46,359.651
03/03/2022,15:46,359.651
03/03/2022,16:46,365.737
03/03/2022,17:46,378.419
03/03/2022,18:46,381.632
03/03/2022,19:46,391.271
03/03/2022,20:46,404.293
03/03/2022,21:46,414.442
03/03/2022,22:46,411.059
03/03/2022,23:46,411.059
04/03/2022,00:46,404.293
04/03/2022,01:46,400.910
04/03/2022,02:46,394.484
04/03/2022,03:46,397.697
04/03/2022,04:46,394.484
04/03/2022,05:46,394.484
04/03/2022,06:46,397.697
04/03/2022,07:46,394.484
04/03/2022,08:46,394.484
04/03/2022,09:46,394.484
04/03/2022,10:46,391.271
04/03/2022,11:46,388.058
04/03/2022,12:46,388.058
04/03/2022,13:46,384.845
04/03/2022,14:46,384.845
04/03/2022,15:46,381.632
04/03/2022,16:46,378.419
04/03/2022,17:46,375.206
04/03/2022,18:46,371.993
04/03/2022,19:46,368.780
04/03/2022,20:46,368.780
04/03/2022,21:46,365.737
04/03/2022,22:46,362.694
04/03/2022,23:46,362.694
05/03/2022,00:46,359.651
05/03/2022,01:46,356.608
05/03/2022,02:46,356.608
05/03/2022,03:46,353.565
05/03/2022,04:46,353.565
05/03/2022,05:46,350.522
05/03/2022,06:46,350.522
05/03/2022,07:46,347.479
05/03/2022,08:46,347.479
05/03/2022,09:46,344.436
05/03/2022,10:46,344.436
05/03/2022,11:46,344.436
05/03/2022,12:46,341.393
05/03/2022,13:46,338.350
05/03/2022,14:46,341.393
05/03/2022,15:46,341.393
05/03/2022,16:46,335.476
05/03/2022,17:46,335.476
05/03/2022,18:46,335.476
05/03/2022,19:46,332.602
05/03/2022,20:46,329.728
05/03/2022,21:46,329.728
05/03/2022,22:46,326.854
05/03/2022,23:46,323.980
06/03/2022,00:46,323.980
06/03/2022,01:46,323.980
06/03/2022,02:46,323.980
06/03/2022,03:46,321.106
06/03/2022,04:46,321.106
06/03/2022,05:46,318.232
06/03/2022,06:46,318.232
06/03/2022,07:46,315.358
06/03/2022,08:46,318.232
06/03/2022,09:46,315.358
06/03/2022,10:46,315.358
06/03/2022,11:46,312.484
06/03/2022,12:46,315.358
06/03/2022,13:46,318.232
06/03/2022,14:46,323.980
06/03/2022,15:46,335.476
06/03/2022,16:46,344.436
06/03/2022,17:46,359.651
06/03/2022,18:46,378.419
06/03/2022,19:46,391.271
06/03/2022,20:46,411.059
06/03/2022,21:46,427.974
06/03/2022,22:46,445.396
06/03/2022,23:46,459.604
07/03/2022,00:46,481.423
07/03/2022,01:46,496.307
07/03/2022,02:46,511.362
07/03/2022,03:46,526.930
07/03/2022,04:46,546.390
07/03/2022,05:46,566.690
07/03/2022,06:46,582.930
07/03/2022,07:46,599.683
07/03/2022,08:46,616.607
07/03/2022,09:46,638.098
07/03/2022,10:46,660.093
07/03/2022,11:46,668.891
07/03/2022,12:46,687.000
07/03/2022,13:46,696.140
07/03/2022,14:46,705.280
07/03/2022,15:46,700.710
07/03/2022,16:46,705.280
07/03/2022,17:46,696.140
07/03/2022,18:46,700.710
07/03/2022,19:46,696.140
